date,daily_revenue
2021-01-01,565.83
2021-01-02,721.3
2021-01-03,648.92
2021-01-04,567.14
2021-01-05,535.48
2021-01-06,549.79
2021-01-07,515.24
2021-01-08,519.83
2021-01-09,680.04
2021-01-10,715.11
2021-01-11,621.92
2021-01-12,569.76
2021-01-13,548.7
2021-01-14,561.43
2021-01-15,602.19
2021-01-16,827.49
2021-01-17,666.76
2021-01-18,608.31
2021-01-19,562.98
2021-01-20,511.51
2021-01-21,581.41
2021-01-22,569.86
2021-01-23,719.0
2021-01-24,797.35
2021-01-25,491.83
2021-01-26,602.38
2021-01-27,571.67
2021-01-28,538.38
2021-01-29,565.43
2021-01-30,685.05
2021-01-31,638.98
2021-02-01,398.21
2021-02-02,442.69
2021-02-03,512.65
2021-02-04,477.07
2021-02-05,452.72
2021-02-06,682.28
2021-02-07,730.13
2021-02-08,568.19
2021-02-09,487.42
2021-02-10,502.39
2021-02-11,523.86
2021-02-12,561.65
2021-02-13,561.11
2021-02-14,653.38
2021-02-15,549.64
2021-02-16,519.16
2021-02-17,434.29
2021-02-18,488.27
2021-02-19,495.19
2021-02-20,702.91
2021-02-21,658.73
2021-02-22,473.18
2021-02-23,570.86
2021-02-24,424.65
2021-02-25,465.66
2021-02-26,566.11
2021-02-27,767.01
2021-02-28,682.46
2021-03-01,420.23
2021-03-02,472.17
2021-03-03,512.8
2021-03-04,443.39
2021-03-05,450.69
2021-03-06,573.44
2021-03-07,600.87
2021-03-08,484.44
2021-03-09,483.17
2021-03-10,521.57
2021-03-11,479.19
2021-03-12,470.07
2021-03-13,626.99
2021-03-14,639.01
2021-03-15,515.33
2021-03-16,481.53
2021-03-17,514.55
2021-03-18,544.15
2021-03-19,446.84
2021-03-20,553.59
2021-03-21,612.71
2021-03-22,545.73
2021-03-23,518.62
2021-03-24,466.69
2021-03-25,494.3
2021-03-26,501.34
2021-03-27,647.87
2021-03-28,666.51
2021-03-29,386.9
2021-03-30,504.34
2021-03-31,488.58
2021-04-01,577.34
2021-04-02,364.59
2021-04-03,611.68
2021-04-04,572.22
2021-04-05,470.67
2021-04-06,429.2
2021-04-07,395.89
2021-04-08,456.81
2021-04-09,498.92
2021-04-10,529.06
2021-04-11,605.25
2021-04-12,379.16
2021-04-13,502.18
2021-04-14,530.94
2021-04-15,488.6
2021-04-16,460.92
2021-04-17,567.61
2021-04-18,545.88
2021-04-19,452.68
2021-04-20,484.05
2021-04-21,494.89
2021-04-22,456.59
2021-04-23,433.05
2021-04-24,677.87
2021-04-25,642.65
2021-04-26,446.15
2021-04-27,466.34
2021-04-28,509.98
2021-04-29,384.96
2021-04-30,477.24
2021-05-01,657.43
2021-05-02,642.2
2021-05-03,470.44
2021-05-04,501.39
2021-05-05,499.68
2021-05-06,470.83
2021-05-07,466.62
2021-05-08,611.27
2021-05-09,604.28
2021-05-10,462.5
2021-05-11,515.35
2021-05-12,439.33
2021-05-13,509.96
2021-05-14,422.76
2021-05-15,572.68
2021-05-16,645.48
2021-05-17,504.76
2021-05-18,510.34
2021-05-19,447.97
2021-05-20,490.31
2021-05-21,521.5
2021-05-22,574.95
2021-05-23,683.43
2021-05-24,444.54
2021-05-25,438.24
2021-05-26,438.02
2021-05-27,388.05
2021-05-28,503.28
2021-05-29,628.8
2021-05-30,635.38
2021-05-31,442.35
2021-06-01,588.15
2021-06-02,478.47
2021-06-03,504.24
2021-06-04,558.89
2021-06-05,620.16
2021-06-06,726.81
2021-06-07,644.31
2021-06-08,590.65
2021-06-09,536.36
2021-06-10,527.14
2021-06-11,511.58
2021-06-12,734.3
2021-06-13,749.49
2021-06-14,561.02
2021-06-15,567.99
2021-06-16,535.24
2021-06-17,538.46
2021-06-18,470.12
2021-06-19,683.28
2021-06-20,670.74
2021-06-21,563.23
2021-06-22,495.33
2021-06-23,535.55
2021-06-24,425.27
2021-06-25,515.04
2021-06-26,639.37
2021-06-27,698.81
2021-06-28,514.12
2021-06-29,515.2
2021-06-30,536.31
2021-07-01,557.56
2021-07-02,470.57
2021-07-03,717.24
2021-07-04,768.18
2021-07-05,498.73
2021-07-06,572.38
2021-07-07,531.85
2021-07-08,580.3
2021-07-09,591.68
2021-07-10,774.82
2021-07-11,694.79
2021-07-12,497.5
2021-07-13,577.33
2021-07-14,605.09
2021-07-15,634.67
2021-07-16,627.9
2021-07-17,705.82
2021-07-18,703.68
2021-07-19,612.1
2021-07-20,604.99
2021-07-21,592.75
2021-07-22,561.16
2021-07-23,492.04
2021-07-24,748.92
2021-07-25,726.93
2021-07-26,614.35
2021-07-27,506.86
2021-07-28,598.99
2021-07-29,620.41
2021-07-30,532.47
2021-07-31,794.11
2021-08-01,834.27
2021-08-02,646.16
2021-08-03,585.75
2021-08-04,608.02
2021-08-05,485.43
2021-08-06,630.85
2021-08-07,805.56
2021-08-08,784.68
2021-08-09,628.04
2021-08-10,602.08
2021-08-11,593.47
2021-08-12,599.01
2021-08-13,628.47
2021-08-14,687.14
2021-08-15,796.57
2021-08-16,579.06
2021-08-17,631.19
2021-08-18,656.03
2021-08-19,638.43
2021-08-20,561.62
2021-08-21,728.4
2021-08-22,690.8
2021-08-23,702.82
2021-08-24,652.18
2021-08-25,650.94
2021-08-26,643.9
2021-08-27,553.96
2021-08-28,766.78
2021-08-29,799.67
2021-08-30,591.77
2021-08-31,594.92
2021-09-01,691.89
2021-09-02,672.43
2021-09-03,647.14
2021-09-04,854.23
2021-09-05,742.44
2021-09-06,637.38
2021-09-07,714.83
2021-09-08,663.75
2021-09-09,693.04
2021-09-10,622.29
2021-09-11,823.4
2021-09-12,793.32
2021-09-13,646.12
2021-09-14,657.37
2021-09-15,672.03
2021-09-16,673.27
2021-09-17,622.19
2021-09-18,829.55
2021-09-19,794.12
2021-09-20,692.54
2021-09-21,613.77
2021-09-22,694.7
2021-09-23,615.75
2021-09-24,707.2
2021-09-25,837.03
2021-09-26,806.93
2021-09-27,661.61
2021-09-28,643.71
2021-09-29,649.27
2021-09-30,702.7
2021-10-01,709.18
2021-10-02,856.84
2021-10-03,790.17
2021-10-04,626.52
2021-10-05,676.37
2021-10-06,677.88
2021-10-07,631.99
2021-10-08,634.28
2021-10-09,857.36
2021-10-10,791.04
2021-10-11,675.37
2021-10-12,759.43
2021-10-13,603.97
2021-10-14,637.56
2021-10-15,642.45
2021-10-16,897.97
2021-10-17,860.17
2021-10-18,580.09
2021-10-19,623.82
2021-10-20,868.16
2021-10-21,739.75
2021-10-22,663.74
2021-10-23,806.39
2021-10-24,879.31
2021-10-25,638.44
2021-10-26,631.54
2021-10-27,693.95
2021-10-28,648.32
2021-10-29,716.11
2021-10-30,817.83
2021-10-31,891.86
2021-11-01,629.71
2021-11-02,695.76
2021-11-03,726.85
2021-11-04,658.35
2021-11-05,619.48
2021-11-06,840.73
2021-11-07,805.09
2021-11-08,687.7
2021-11-09,624.45
2021-11-10,743.88
2021-11-11,587.63
2021-11-12,699.17
2021-11-13,799.87
2021-11-14,859.53
2021-11-15,665.11
2021-11-16,680.68
2021-11-17,661.53
2021-11-18,685.48
2021-11-19,702.05
2021-11-20,733.26
2021-11-21,797.24
2021-11-22,606.13
2021-11-23,637.63
2021-11-24,693.52
2021-11-25,698.71
2021-11-26,657.23
2021-11-27,763.14
2021-11-28,833.99
2021-11-29,675.68
2021-11-30,633.84
2021-12-01,688.53
2021-12-02,728.08
2021-12-03,653.34
2021-12-04,808.01
2021-12-05,762.1
2021-12-06,777.74
2021-12-07,654.95
2021-12-08,618.48
2021-12-09,717.01
2021-12-10,624.14
2021-12-11,731.82
2021-12-12,750.31
2021-12-13,667.47
2021-12-14,713.38
2021-12-15,636.14
2021-12-16,653.38
2021-12-17,614.38
2021-12-18,677.31
2021-12-19,839.07
2021-12-20,621.01
2021-12-21,705.45
2021-12-22,559.28
2021-12-23,670.18
2021-12-24,627.95
2021-12-25,781.55
2021-12-26,811.73
2021-12-27,608.28
2021-12-28,650.44
2021-12-29,725.34
2021-12-30,635.8
2021-12-31,642.08
2022-01-01,744.69
2022-01-02,766.92
2022-01-03,608.99
2022-01-04,573.19
2022-01-05,591.72
2022-01-06,589.6
2022-01-07,576.46
