date,daily_revenue
2015-01-01,14205.71
2015-02-01,4519.89
2015-03-01,55205.8
2015-04-01,27906.86
2015-05-01,23644.3
2015-06-01,34322.94
2015-07-01,33781.54
2015-08-01,27117.54
2015-09-01,81623.53
2015-10-01,31453.39
2015-11-01,77907.66
2015-12-01,68167.06
2016-01-01,18066.96
2016-02-01,11951.41
2016-03-01,32339.32
2016-04-01,34154.47
2016-05-01,29959.53
2016-06-01,23599.37
2016-07-01,28608.26
2016-08-01,36818.34
2016-09-01,63133.61
2016-10-01,31011.74
2016-11-01,75249.4
2016-12-01,74543.6
2017-01-01,18542.49
2017-02-01,22978.82
2017-03-01,51165.06
2017-04-01,38679.77
2017-05-01,56656.91
2017-06-01,39724.49
2017-07-01,38320.78
2017-08-01,30542.2
2017-09-01,69193.39
2017-10-01,59583.03
2017-11-01,79066.5
2017-12-01,95739.12
2018-01-01,43476.47
2018-02-01,19921.0
2018-03-01,58863.41
2018-04-01,35541.91
2018-05-01,43825.98
2018-06-01,48190.73
2018-07-01,44825.1
2018-08-01,62837.85
2018-09-01,86152.89
2018-10-01,77448.13
2018-11-01,117938.16
2018-12-01,83030.39
